6.332523771561682224e-04 3.941156435757875443e-03 3.449843730777502060e-03 1.000000000000000000e+00
7.505000103265047073e-04 3.357694251462817192e-03 3.183374181389808655e-03 1.000000000000000000e+00
8.677476434968411922e-04 3.011571476235985756e-03 2.889297204092144966e-03 1.000000000000000000e+00
9.821082931011915207e-04 2.790386090055108070e-03 2.883289707824587822e-03 1.000000000000000000e+00
1.090765930712223053e-03 2.443671822547912598e-01 3.118345141410827637e-01 8.708333969116210938e-01
1.191045041196048260e-03 1.927352696657180786e-01 1.531389653682708740e-01 9.416667222976684570e-01
1.280476571992039680e-03 1.263151615858078003e-01 1.075585037469863892e-01 9.625000357627868652e-01
1.356858294457197189e-03 1.174964308738708496e-01 1.305008679628372192e-01 9.437500238418579102e-01
1.418309402652084827e-03 1.304496079683303833e-01 1.103770956397056580e-01 9.541667103767395020e-01
1.463316846638917923e-03 1.014542281627655029e-01 1.313344836235046387e-01 9.541667103767395020e-01
1.490772468969225883e-03 9.942521154880523682e-02 8.766227215528488159e-02 9.645833969116210938e-01
1.500000013038516045e-03 9.723988175392150879e-02 1.462118923664093018e-01 9.402778744697570801e-01
1.490772468969225883e-03 1.181546151638031006e-01 1.226548627018928528e-01 9.500000476837158203e-01
1.463316846638917923e-03 1.223822981119155884e-01 9.194092452526092529e-02 9.666666984558105469e-01
1.418309402652084827e-03 1.003931984305381775e-01 7.373524457216262817e-02 9.770833849906921387e-01
1.356858294457197189e-03 7.638531178236007690e-02 6.132064014673233032e-02 9.770833849906921387e-01
1.280476571992039680e-03 6.758158653974533081e-02 5.193829536437988281e-02 9.791667461395263672e-01
1.191045041196048260e-03 5.047282949090003967e-02 6.054963544011116028e-02 9.812500476837158203e-01
1.090765930712223053e-03 4.118170216679573059e-02 3.162095323204994202e-02 9.958333969116210938e-01
9.821082931011915207e-04 4.068401083350181580e-02 3.860875964164733887e-02 9.916667342185974121e-01
8.677476434968411922e-04 4.570463299751281738e-02 5.459052696824073792e-02 9.791667461395263672e-01
7.505000103265047073e-04 4.927868023514747620e-02 2.986566722393035889e-02 9.875000715255737305e-01
6.332523771561682224e-04 3.464860096573829651e-02 1.749853603541851044e-02 9.958333969116210938e-01
5.188917857594788074e-04 2.149599418044090271e-02 1.791776902973651886e-02 9.979166984558105469e-01
4.102341190446168184e-04 1.478789467364549637e-02 1.634750701487064362e-02 9.979166984558105469e-01
3.099549503531306982e-04 1.107109524309635162e-02 1.621866226196289062e-02 9.979166984558105469e-01
2.205234632128849626e-04 9.788539260625839233e-03 1.501965709030628204e-02 9.979166984558105469e-01
1.441417698515579104e-04 9.013867937028408051e-03 1.499942224472761154e-02 9.979166984558105469e-01
8.269061072496697307e-05 8.599151857197284698e-03 1.497310772538185120e-02 9.979166984558105469e-01
3.768314127228222787e-05 8.363136090338230133e-03 1.481502316892147064e-02 9.979166984558105469e-01
1.022758897306630388e-05 8.252998813986778259e-03 1.483736466616392136e-02 9.979166984558105469e-01
9.999999974752427079e-07 8.213833905756473541e-03 1.483771204948425293e-02 9.979166984558105469e-01
1.022758897306630388e-05 8.217768743634223938e-03 1.481102872639894485e-02 9.979166984558105469e-01
3.768314127228222787e-05 8.201892487704753876e-03 1.481041498482227325e-02 9.979166984558105469e-01
8.269061072496697307e-05 8.219775743782520294e-03 1.491884142160415649e-02 9.979166984558105469e-01
